,date,text,user
474,2019-11-06 22:04:02+00:00,thank you birmingham tomorrow ill hit the campaign trail and pitch our positive plan to get brexit done and unleash britains potential ,BorisJohnson
476,2019-11-06 20:16:03+00:00, get brexit done unleash britains potential vote conservative ,BorisJohnson
479,2019-11-06 15:15:04+00:00,only a conservative majority government can get brexit done join me now ,BorisJohnson
485,2019-11-05 14:51:11+00:00,jeremy corbyn wants to have another eu referendum and debate brexit for years i want us to so that we can get on with delivering on britain s priorities safer streets better hospitals and improved schools ,BorisJohnson
487,2019-11-04 21:24:01+00:00,tonight i have written to jeremy corbyn to ask him if he has made up his mind on brexit the british people deserve to know what they are voting for on december th ,BorisJohnson
511,2019-10-24 20:03:32+00:00,if this parliament can t get brexit done then we need one that will i m determined to lead this country forward ,BorisJohnson
512,2019-10-24 18:09:28+00:00,hi folks as you all know we need to get brexit done so we can move forward as a country either with this parliament or with a new one chosen by you the voters ,BorisJohnson
513,2019-10-24 16:06:36+00:00,i have written to jeremy corbyn this parliament must get brexit done now or a new parliament must get brexit done so the country can move on,BorisJohnson
520,2019-10-22 11:39:45+00:00,the public doesn t want any more delays let s get brexit done on october st and move this country forward ,BorisJohnson
525,2019-10-19 10:03:49+00:00,lets come together and get brexit done ,BorisJohnson
530,2019-10-18 07:06:31+00:00,we ve got a great new deal that takes back control now parliament should get brexit done on saturday so we can move on to other priorities like the cost of living the nhs violent crime and our environment ,BorisJohnson
535,2019-10-17 10:25:39+00:00,this is a deal which allows us to get brexit done and leave the eu in two weeks time so we can then focus on the people s priorities and bring the country back together again ,BorisJohnson
537,2019-10-17 07:40:28+00:00,we are going to get brexit done ,BorisJohnson
539,2019-10-16 11:55:59+00:00,it s time to get brexit done and get on with delivering on britain s priorities safer streets better hospitals and improved schools ,BorisJohnson
557,2019-10-09 16:41:38+00:00,busy week in downing street were investing in hospital infrastructure making good progress on recruiting  new police officers and continuing to talk to the eu about getting a brexit deal ,BorisJohnson
564,2019-10-05 20:00:38+00:00,great to hear you re no longer running scared the voters have a choice getting brexit done with me or the pointless delay you re offering name the date ,BorisJohnson
570,2019-10-02 14:27:46+00:00,today i have set out a fair and reasonable compromise for replacing the backstop so we can get brexit done by october ,BorisJohnson
571,2019-10-02 13:09:09+00:00,let s get brexit done not just because we have such an immense agenda to take this country forward but because brexit is an opportunity in itself ,BorisJohnson
572,2019-10-02 12:32:43+00:00,let s get brexit done lets unite our country and let s finally believe in ourselves and what we can do ,BorisJohnson
579,2019-09-30 17:53:39+00:00,lets get brexit done so we can invest in the nhs schools and police and build a fantastic future for this country ,BorisJohnson
580,2019-09-30 16:21:25+00:00, we need to get brexit done so we can move this country forward amp focus on our priorities the nhs policing amp schools ,BorisJohnson
582,2019-09-30 10:54:54+00:00,im in manchester for conservative party conference were focused on getting brexit done so we can get on with our dynamic domestic agenda ,BorisJohnson
583,2019-09-29 13:30:11+00:00,i was delighted to meet with nhs staff at north manchester general hospital today they re doing a great job we need to get brexit done so we can get on with delivering on the priorities of the british people like our nhs ,BorisJohnson
587,2019-09-28 18:32:42+00:00,arrived in manchester for our conservative party conference let s get brexit done ,BorisJohnson
588,2019-09-28 16:14:00+00:00,we need to get brexit done so we can move this country forward focus on our priorities the nhs policing schools ,BorisJohnson
590,2019-09-28 09:29:13+00:00,it s time to get brexit done ,BorisJohnson
593,2019-09-27 13:05:22+00:00,our priorities for action are clear deliver brexit invest in our nhs schools and police ,BorisJohnson
600,2019-09-25 19:41:45+00:00,it s time to get brexit done and move on so that we can invest more in the nhs and our schools and tackle violent crime ,BorisJohnson
629,2019-09-13 07:25:04+00:00,corbyn s would mean more pointless brexit delay at the extra cost of m a week thats enough to train  new nurses instead of giving our money to brussels we should be spending it on our priorities like the nhs ,BorisJohnson
640,2019-09-10 11:39:14+00:00,corbyn and his friends in parliament want to delay brexit and surrender billions more to brussels we cannot allow this to happen the referendum result must be respected ,BorisJohnson
641,2019-09-09 11:36:18+00:00,let s come together and get brexit done on october st ,BorisJohnson
642,2019-09-09 07:19:52+00:00,there are so many opportunities for the uk post brexit let s get this thing done ,BorisJohnson
644,2019-09-06 16:20:28+00:00,there are so many opportunities for the uk post brexit let s get this done ,BorisJohnson
649,2019-09-05 18:37:47+00:00,corbyn and his friends in parliament don t trust you to make this decision but i do let s put it to the people more delay with corbyn s or brexit delivered on october st ,BorisJohnson
652,2019-09-04 21:36:53+00:00,people have a choice years of uncertainty and delay with corbyns or brexit delivered on october st ,BorisJohnson
654,2019-09-03 07:12:35+00:00,jeremy corbyn wants to cancel the referendum and argue about brexit for years i am committed to leading our country forward and getting britain out of the eu by october st ,BorisJohnson
694,2019-08-22 14:56:36+00:00,today i met president in paris let s get brexit done sensibly and pragmatically and in the interests of both sides let s get on with deepening and intensifying the friendship and the partnership between our nations ,BorisJohnson
701,2019-08-19 19:21:53+00:00,i have written to about key aspects of the uk s approach to brexit problems with the backstop amp the government s commitment to the belfast good friday agreement whether there is a deal with the eu or not ,BorisJohnson
704,2019-08-18 10:47:05+00:00,we are leaving the eu on october st the signing of this document means we will take back control of our laws on brexit day ,BorisJohnson
